trial_id,worker_id,gpu,timestamp,duration_sec,status,count_mse,count_mae,best_conf,count_mse_true_mean,count_mse_pred_mean,n_val_images,mAP50,model,imgsz,batch,optimizer,lr0,lrf,momentum,weight_decay,warmup_epochs,cos_lr,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,fliplr,flipud,mosaic,mixup,copy_paste,erasing,close_mosaic,dropout,error
1776398967254_w0_0046,0,0,2026-04-16 23:09:27,586.48,ok,4.732673267326732,1.683168316831683,0.25,16.425742574257427,16.504950495049506,101,0.8927821226322605,yolo26m.pt,1280,16,SGD,0.01,0.1,0.937,0.0,1.0,True,7.5,0.25,0.5,0.0,0.3,0.4,0.0,0.0,0.8,0.0,0.1,0.5,0.25,0.0,0.2,10,0.2,
1776399554352_w0_0047,0,0,2026-04-16 23:19:14,591.33,ok,4.752475247524752,1.5841584158415842,0.25,16.425742574257427,16.168316831683168,101,0.9015066329975967,yolo26m.pt,1280,16,auto,0.001,0.01,0.95,0.0,1.0,True,10.0,1.0,0.5,0.015,0.3,0.4,0.0,0.0,0.8,0.0,0.1,0.5,0.25,0.0,0.2,10,0.2,
1776400146297_w0_0048,0,0,2026-04-16 23:29:06,314.58,ok,4.475247524752476,1.5841584158415842,0.3,16.425742574257427,15.910891089108912,101,0.8909407687402844,yolo26s.pt,1280,16,auto,0.001,0.05,0.937,0.0,5.0,True,10.0,0.5,1.5,0.015,0.3,0.4,0.0,0.0,0.8,0.0,0.1,0.5,0.25,0.0,0.2,5,0.0,
1776400461392_w0_0049,0,0,2026-04-16 23:34:21,589.3,ok,3.722772277227723,1.4653465346534653,0.25,16.425742574257427,16.22772277227723,101,0.9061148385492513,yolo26m.pt,1280,16,auto,0.003,0.1,0.95,0.001,1.0,True,7.5,0.25,0.5,0.015,0.5,0.4,0.0,0.1,0.25,0.0,0.1,0.5,0.25,0.0,0.0,5,0.0,
1776401051367_w0_0050,0,0,2026-04-16 23:44:11,591.49,ok,3.9603960396039604,1.5247524752475248,0.3,16.425742574257427,15.712871287128714,101,0.9023117540215645,yolo26m.pt,1280,16,auto,0.01,0.1,0.937,0.0,5.0,True,5.0,1.0,1.5,0.0,0.3,0.4,5.0,0.1,0.8,0.0,0.1,0.5,0.25,0.0,0.0,10,0.2,
1776401643549_w0_0051,0,0,2026-04-16 23:54:03,308.66,ok,4.841584158415841,1.7128712871287128,0.25,16.425742574257427,16.495049504950494,101,0.8970705966000412,yolo26s.pt,1280,16,auto,0.001,0.05,0.937,0.001,1.0,True,5.0,0.25,1.5,0.015,0.3,0.4,0.0,0.0,0.25,0.0,0.1,0.5,0.0,0.0,0.2,5,0.2,
1776401952781_w0_0052,0,0,2026-04-16 23:59:12,589.24,ok,3.9405940594059405,1.504950495049505,0.25,16.425742574257427,16.366336633663366,101,0.8914828213397128,yolo26m.pt,1280,16,auto,0.003,0.01,0.95,0.0,1.0,True,7.5,0.25,1.5,0.015,0.3,0.4,5.0,0.0,0.8,0.0,0.1,0.5,0.0,0.0,0.0,10,0.2,
1776402542665_w0_0053,0,0,2026-04-17 00:09:02,584.57,ok,4.633663366336633,1.603960396039604,0.25,16.425742574257427,16.405940594059405,101,0.9054752493670343,yolo26m.pt,1280,16,SGD,0.001,0.01,0.937,0.0,5.0,True,10.0,1.0,1.5,0.015,0.5,0.4,0.0,0.0,0.25,0.0,0.1,0.5,0.0,0.0,0.2,10,0.3,
1776403127887_w0_0054,0,0,2026-04-17 00:18:47,592.2,ok,3.762376237623762,1.4653465346534653,0.3,16.425742574257427,16.02970297029703,101,0.8935900618352799,yolo26m.pt,1280,16,auto,0.001,0.1,0.937,0.001,1.0,True,7.5,0.25,0.5,0.0,0.3,0.4,5.0,0.1,0.8,0.0,0.1,0.5,0.0,0.0,0.2,10,0.0,
1776403720722_w0_0055,0,0,2026-04-17 00:28:40,308.82,ok,4.475247524752476,1.5841584158415842,0.25,16.425742574257427,16.326732673267326,101,0.890649999024493,yolo26s.pt,1280,16,SGD,0.01,0.05,0.937,0.0,1.0,True,7.5,0.25,1.5,0.015,0.3,0.4,5.0,0.0,0.25,0.0,0.1,0.5,0.25,0.0,0.0,5,0.0,
